#
# Linux system call numbers and entry vectors
#
# The format is:
# <number> <abi> <name> <entry point> <comment>
#
# The abi is always common for this file.
#
0       common  restart_syscall         sys_restart_syscall				/* ok */
1       common  exit                    sys_exit					/* ok */
2       common  fork                    sys_fork					/* not for no MMU - weird */
3       common  read                    sys_read					/* ok */
4       common  write                   sys_write					/* ok */
5       common  open                    sys_open					/* openat */
6       common  close                   sys_close					/* ok */
7       common  waitpid                 sys_waitpid					/* waitid */
8       common  creat                   sys_creat					/* openat */
9       common  link                    sys_link					/* linkat */
10      common  unlink                  sys_unlink					/* unlinkat */
11      common  execve                  sys_execve					/* ok */
12      common  chdir                   sys_chdir					/* ok */
13      common  time                    sys_time					/* obsolete -> sys_gettimeofday */
14      common  mknod                   sys_mknod					/* mknodat */
15      common  chmod                   sys_chmod					/* fchmodat */
16      common  lchown                  sys_lchown					/* ok */
17      common  break                   sys_ni_syscall					/* don't know */
18      common  oldstat                 sys_ni_syscall					/* remove */
19      common  lseek                   sys_lseek					/* ok */
20      common  getpid                  sys_getpid					/* ok */
21      common  mount                   sys_mount					/* ok */
22      common  umount                  sys_oldumount					/* ok */  /* use only umount2 */
23      common  setuid                  sys_setuid					/* ok */
24      common  getuid                  sys_getuid					/* ok */
25      common  stime                   sys_stime					/* obsolete -> sys_settimeofday */
26      common  ptrace                  sys_ptrace					/* ok */
27      common  alarm                   sys_alarm					/* obsolete -> sys_setitimer */
28      common  oldfstat                sys_ni_syscall					/* remove */
29      common  pause                   sys_pause					/* obsolete -> sys_rt_sigtimedwait */
30      common  utime                   sys_utime					/* obsolete -> sys_utimesat */
31      common  stty                    sys_ni_syscall					/* remove */
32      common  gtty                    sys_ni_syscall				   	/* remove */
33      common  access                  sys_access					/* faccessat */
34      common  nice                    sys_nice					
35      common  ftime                   sys_ni_syscall					/* remove */
36      common  sync                    sys_sync					/* ok */
37      common  kill                    sys_kill					/* ok */
38      common  rename                  sys_rename					/* renameat */
39      common  mkdir                   sys_mkdir					/* mkdirat */
40      common  rmdir                   sys_rmdir					/* unlinkat */
41      common  dup                     sys_dup						/* ok */
42      common  pipe                    sys_pipe					/* ok */
43      common  times                   sys_times					/* ok */
44      common  prof                    sys_ni_syscall					/* remove */
45      common  brk                     sys_brk						/* ok -mmu, nommu specific */
46      common  setgid                  sys_setgid					/* ok */
47      common  getgid                  sys_getgid					/* ok */
48      common  signal                  sys_signal					/* obsolete -> sys_rt_sigaction */
49      common  geteuid                 sys_geteuid					/* ok */
50      common  getegid                 sys_getegid					/* ok */
51      common  acct                    sys_acct					/* add it and then I can disable it */
52      common  umount2                 sys_umount					/* remove */
53      common  lock                    sys_ni_syscall					/* remove */
54      common  ioctl                   sys_ioctl					/* ok */
55      common  fcntl                   sys_fcntl					/* ok -> 64bit version*/
56      common  mpx                     sys_ni_syscall					/* remove */
57      common  setpgid                 sys_setpgid					/* ok */
58      common  ulimit                  sys_ni_syscall					/* remove */
59      common  oldolduname             sys_ni_syscall					/* remove */
60      common  umask                   sys_umask					/* ok */
61      common  chroot                  sys_chroot					/* ok */
62      common  ustat                   sys_ustat					/* obsolete -> statfs64 */
63      common  dup2                    sys_dup2					/* ok */
64      common  getppid                 sys_getppid					/* ok */
65      common  getpgrp                 sys_getpgrp					/* obsolete -> sys_getpgid */
66      common  setsid                  sys_setsid					/* ok */
67      common  sigaction               sys_ni_syscall					/* obsolete -> rt_sigaction */
68      common  sgetmask                sys_sgetmask					/* obsolete -> sys_rt_sigprocmask */
69      common  ssetmask                sys_ssetmask					/* obsolete ->sys_rt_sigprocmask */
70      common  setreuid                sys_setreuid					/* ok */
71      common  setregid                sys_setregid					/* ok */
72      common  sigsuspend              sys_ni_syscall					/* obsolete -> rt_sigsuspend */
73      common  sigpending              sys_sigpending					/* obsolete -> sys_rt_sigpending */
74      common  sethostname             sys_sethostname					/* ok */
75      common  setrlimit               sys_setrlimit					/* ok */
76      common  getrlimit               sys_ni_syscall					/* ok Back compatible 2G limited rlimit */
77      common  getrusage               sys_getrusage					/* ok */
78      common  gettimeofday            sys_gettimeofday				/* ok */
79      common  settimeofday            sys_settimeofday				/* ok */
80      common  getgroups               sys_getgroups					/* ok */
81      common  setgroups               sys_setgroups					/* ok */
82      common  select                  sys_ni_syscall					/* obsolete -> sys_pselect6 */
83      common  symlink                 sys_symlink					/* symlinkat */
84      common  oldlstat                sys_ni_syscall					/* remove */
85      common  readlink                sys_readlink					/* obsolete -> sys_readlinkat */
86      common  uselib                  sys_uselib					/* remove */
87      common  swapon                  sys_swapon					/* ok */
88      common  reboot                  sys_reboot					/* ok */
89      common  readdir                 sys_ni_syscall					/* remove ? */
90      common  mmap                    sys_mmap					/* obsolete -> sys_mmap2 */
91      common  munmap                  sys_munmap					/* ok - mmu and nommu */
92      common  truncate                sys_truncate					/* ok or truncate64 */
